id,preferred_term,candidate_term,status,issue,affected_object_ids,source_ids,next_action
TERM-001,jack stud,trimmer stud,hold,"Australian public sources used here define a jack stud as a shortened stud above or below an opening, while some industry material uses jack or trimmer stud for a member supporting a lintel end.",AU-TF-JACK-STUD|AU-TF-JAMB-STUD,SRC-RMIT-JACK-STUD|SRC-DICTIONARY-JACK-STUD|SRC-RMIT-JAMB-STUD,Check terminology in licensed AS 1684 content and current Australian framing manuals before accepting any equivalence.
TERM-002,jamb stud,king stud,research_required,King stud is common North American terminology but was not established as the preferred Australian term by the sources used.,AU-TF-JAMB-STUD,SRC-RMIT-JAMB-STUD|SRC-DICTIONARY-JAMB-STUD,Survey Australian training and manufacturer documents from several states before classifying the regional alias.
TERM-003,lintel,header,hold,"Header can mean a lintel in North American usage, but may also mean a non-loadbearing trimmer or another cross-member.",AU-TF-LINTEL|AU-TF-HEAD-TRIMMER,SRC-RMIT-LINTEL|SRC-DICTIONARY-TRIMMER,Do not use header as an automatic search or drawing synonym until the intended role is known.
TERM-004,head trimmer,lintel,research_required,"Both can occur at the head of an opening, but a lintel is a structural spanning member while a head trimmer may only form and fix the rough opening.",AU-TF-HEAD-TRIMMER|AU-TF-LINTEL,SRC-RMIT-LINTEL|SRC-RMIT-JACK-STUD|SRC-DICTIONARY-TRIMMER,Keep separate roles; confirm state and trade usage with additional Australian references.
TERM-005,jack rafter,creeper rafter,research_required,"Creeper may be used for some shortened rafters, but the exact regional boundary between the terms is not established by the pilot sources.",AU-TF-JACK-RAFTER,SRC-DICTIONARY-JACK-RAFTER,Gather Australian roof-carpentry references from multiple training providers before treating the terms as synonyms.
TERM-006,rim board or boundary joist,rim joist,research_required,"The edge member of a platform floor is real, but preferred naming and whether rim board and boundary joist are the same object depend on the floor system.","",SRC-WOODSOLUTIONS-FRAMING,"Add only after separately researching solid-timber floors, I-joist floors and proprietary floor systems."
TERM-007,truss bracing,Speedbrace,accepted_pending_review,"Speedbrace is a product or proprietary usage, not a generic object class for every form of truss bracing.",AU-TF-TRUSS-BRACE,SRC-RMIT-TRUSS-BRACING,Retain only as a proprietary search term and never use it as the canonical object name.
TERM-008,foundation material,foundation,accepted_pending_review,"NCC footing diagrams use foundation for the supporting ground, while everyday building speech often uses foundation for the constructed footing or slab system.",AU-CF-FOUNDATION-MATERIAL|AU-CF-STRIP-FOOTING-SYSTEM|AU-CF-SLAB-ON-GROUND-ASSEMBLY,SRC-ABCB-HP-FOOTINGS-SCOPE|SRC-RMIT-FOUNDATION-SOILS|SRC-RMIT-FOOTINGS-INTRO,Require context whenever a command says only foundation; do not map it automatically to either soil or concrete work.
TERM-009,stiffened raft slab,raft slab,research_required,Raft slab is often used broadly for an integral slab foundation and does not reliably distinguish a stiffened raft from a waffle raft or another raft arrangement.,AU-CF-STIFFENED-RAFT-SLAB|AU-CF-WAFFLE-RAFT-SLAB|AU-CF-SLAB-ON-GROUND-ASSEMBLY,SRC-RMIT-STIFFENED-RAFT|SRC-YOURHOME-CONCRETE-SLABS|SRC-CAUL-CONCRETE-MEASUREMENT,Treat raft slab as a family-level search term and ask for the structural arrangement before generating geometry.
TERM-010,waffle raft slab,waffle slab,hold,"Waffle slab can describe the residential ground-supported pod system or a suspended two-way ribbed slab, which have different hosts and load paths.",AU-CF-WAFFLE-RAFT-SLAB,SRC-RMIT-WAFFLE-RAFT|SRC-YOURHOME-CONCRETE-SLABS|SRC-CAUL-CONCRETE-MEASUREMENT,Require ground-supported versus suspended context before resolving the short term waffle slab.
