id,source_tier,publisher,title,url,retrieved_at,access_status,robots_status,terms_status,copyright_use
SRC-ABCB-BUSHFIRE-VERIFICATION-HANDBOOK-2022,1,Australian Building Codes Board,NCC 2022 Bushfire Verification Methods handbook,https://www.abcb.gov.au/sites/default/files/resources/2023/NCC-2022-Bushfire-Verification-Methods-Handbook-FA.pdf,2026-08-16T00:00:00+10:00,public_pdf,not_checked_no_crawl,not_checked,"Public guidance paraphrased; performance-solution analysis, fire modelling and approval evidence are outside this object catalogue."
SRC-ABCB-CONDENSATION-HANDBOOK,1,Australian Building Codes Board,Condensation in buildings handbook,https://ncc.abcb.gov.au/sites/default/files/resources/2023/Condensation-in-buildings-handbook.pdf,2026-08-16T00:00:00+10:00,public_pdf,not_checked_no_crawl,not_checked,Public building-science guidance paraphrased; hygrothermal inputs and analysis results are not replaced by generic geometry.
SRC-ABCB-CURRENT-NCC,1,Australian Building Codes Board,General NCC frequently asked questions,https://www.abcb.gov.au/faq/general-ncc,2026-08-16T00:00:00+10:00,public_html,not_checked_no_crawl,not_checked,Used only to verify the current NCC edition and effective date.
SRC-ABCB-HOUSING-ENERGY-HANDBOOK,1,Australian Building Codes Board,NCC 2022 Housing energy efficiency handbook,https://ncc.abcb.gov.au/sites/default/files/resources/2023/NCC-2022-Housing-energy-efficiency-handbook.pdf,2026-08-16T00:00:00+10:00,public_pdf,not_checked_no_crawl,not_checked,Public explanatory guidance paraphrased; examples are not treated as universal construction prescriptions.
SRC-ABCB-HP-ALPINE-ACCESS,1,Australian Building Codes Board,Housing Provisions Part 12.2 — Construction in alpine areas,https://ncc.abcb.gov.au/editions/ncc-2022/adopted/housing-provisions/12-ancillary-provisions/part-122-construction-alpine-areas,2026-08-16T00:00:00+10:00,public_html,not_checked_no_crawl,not_checked,"External trafficable-structure component roles paraphrased; alpine location, geometry and openness rules remain project constraints."
SRC-ABCB-HP-ANCILLARY-SCOPE,1,Australian Building Codes Board,Housing Provisions Part 12.1 — Scope and application of ancillary provisions,https://ncc.abcb.gov.au/editions/ncc-2022/adopted/housing-provisions/12-ancillary-provisions/part-121-scope-and-application-section-12,2026-08-16T00:00:00+10:00,public_full_text,not_checked_no_crawl,not_checked,Public regulatory scope paraphrased; project-specific applicability remains a compliance decision.
SRC-ABCB-HP-BARRIERS-HANDRAILS,1,Australian Building Codes Board,Housing Provisions Part 11.3 — Barriers and handrails,https://ncc.abcb.gov.au/editions/ncc-2022/adopted/housing-provisions/11-safe-movement-and-access/part-113-barriers-and-handrails,2026-08-16T00:00:00+10:00,public_html,not_checked_no_crawl,not_checked,"Barrier, handrail, wire-system and window-protection component roles paraphrased; load, height, opening, tension and deflection values remain authoritative-source constraints."
SRC-ABCB-HP-BUILDING-SEALING,1,Australian Building Codes Board,Housing Provisions Part 13.4 — Building sealing,https://ncc.abcb.gov.au/editions/ncc-2022/adopted/housing-provisions/13-energy-efficiency/part-134-building-sealing,2026-08-16T00:00:00+10:00,public_html,not_checked_no_crawl,not_checked,"Public physical sealing provisions paraphrased; application, climate and service-safety exceptions remain project rules."
SRC-ABCB-HP-CAVITY-MASONRY,1,Australian Building Codes Board,ABCB Housing Provisions Part 5.3 — Cavity masonry,https://ncc.abcb.gov.au/editions/ncc-2022/adopted/housing-provisions/5-masonry/part-53-cavity-masonry,2026-08-16T00:00:00+10:00,public_html,not_checked_no_crawl,not_checked,Regulatory concepts paraphrased; dimensions and tables are not encoded as universal object properties.
SRC-ABCB-HP-CONDENSATION,1,Australian Building Codes Board,Housing Provisions Part 10.8 — Condensation management,https://ncc.abcb.gov.au/editions/ncc-2022/adopted/housing-provisions/10-health-and-amenity/part-108-condensation-management,2026-08-16T00:00:00+10:00,public_html,not_checked_no_crawl,not_checked,"Public condensation-management construction concepts paraphrased; climate thresholds, flow rates and free-open-area values remain versioned rule data."
